Record Length,2500,Points,-12.4999993E-3,3.27999997,,Record Length,2500,Points,-12.4999993E-3,719.999969006E-3,
Sample Interval,9.999999747E-6,s,-12.4899996E-3,3.27999997,,Sample Interval,9.999999747E-6,s,-12.4899996E-3,639.999985695E-3,
Trigger Point,1.2500000E3,Samples,-12.4799991E-3,3.19999981,,Trigger Point,1.2500000E3,Samples,-12.4799991E-3,639.999985695E-3,
,,,-12.4699995E-3,3.11999989,,,,,-12.4699995E-3,639.999985695E-3,
,,,-12.4599990E-3,3.11999989,,,,,-12.4599990E-3,639.999985695E-3,
,,,-12.4499993E-3,3.11999989,,,,,-12.4499993E-3,719.999969006E-3,
Source,CH1,,-12.4399988E-3,3.11999989,,Source,CH2,,-12.4399988E-3,639.999985695E-3,
Vertical Units,Volts,,-12.4299992E-3,3.03999996,,Vertical Units,Volts,,-12.4299992E-3,639.999985695E-3,
Vertical Scale,2.0000000,,-12.4199996E-3,2.96000004,,Vertical Scale,2.0000000,,-12.4199996E-3,639.999985695E-3,
Vertical Offset,0,,-12.4099990E-3,2.96000004,,Vertical Offset,0,,-12.4099990E-3,639.999985695E-3,
Horizontal Units,s,,-12.3999994E-3,2.96000004,,Horizontal Units,s,,-12.3999994E-3,719.999969006E-3,
Horizontal Scale,2.4999999E-3,,-12.3899989E-3,2.96000004,,Horizontal Scale,2.4999999E-3,,-12.3899989E-3,639.999985695E-3,
Pt Fmt,Y,,-12.3799993E-3,2.87999988,,Pt Fmt,Y,,-12.3799993E-3,719.999969006E-3,
Yzero,80.000000000E-3,,-12.3699997E-3,2.79999995,,Yzero,80.000000000E-3,,-12.3699997E-3,719.999969006E-3,
Probe Atten,1.000000,,-12.3599991E-3,2.79999995,,Probe Atten,1.000000,,-12.3599991E-3,639.999985695E-3,
,,,-12.3499995E-3,2.79999995,,,,,-12.3499995E-3,639.999985695E-3,
Note,TBS 1052B-EDU - 07:21:04 p.m.   21/03/2018,,-12.3399990E-3,2.79999995,,Note,TBS 1052B-EDU - 07:21:04 p.m.   21/03/2018,,-12.3399990E-3,639.999985695E-3,
,,,-12.3299994E-3,2.72000003,,,,,-12.3299994E-3,639.999985695E-3,
,,,-12.3199988E-3,2.72000003,,,,,-12.3199988E-3,639.999985695E-3,
,,,-12.3099992E-3,2.6399999,,,,,-12.3099992E-3,639.999985695E-3,
,,,-12.2999996E-3,2.6399999,,,,,-12.2999996E-3,639.999985695E-3,
